City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Contamana,PE,76.3,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
11,Mataura,NZ,77.0,clear sky,-46.1927,168.8643,Ellie's Villa
12,Atuona,PF,77.81,scattered clouds,-9.8,-139.0333,Villa Enata
13,Monrovia,LR,78.08,scattered clouds,6.3005,-10.7969,Sunset Inn
19,Hilo,US,80.6,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
20,Vaini,TO,86.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
23,Morondava,MG,82.4,light rain,-20.2833,44.2833,La Case Bambou
24,Rikitea,PF,77.92,broken clouds,-23.1203,-134.9692,Pension Maro'i
37,Flinders,AU,90.0,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
38,Kavieng,PG,85.28,broken clouds,-2.5744,150.7967,Nusa Island Retreat
41,Eydhafushi,MV,80.13,overcast clouds,5.1033,73.0708,Soneva Fushi
49,Port-Gentil,GA,78.24,overcast clouds,-0.7193,8.7815,Fengshui Residence
52,Airai,TL,75.52,light rain,-8.9266,125.4092,Juvinal Martin
54,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
65,Cabatuan,PH,83.37,light rain,10.8794,122.486,ROREM'S BOARDING HOUSE
67,Kapaa,US,77.0,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
70,Camocim,BR,77.59,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
71,Saint-Philippe,RE,80.6,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Nhulunbuy,AU,89.6,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
76,Puerto Ayora,EC,75.99,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
78,Butaritari,KI,81.43,broken clouds,3.0707,172.7902,Isles Sunset Lodge
80,Vao,NC,76.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
84,Waipawa,NZ,77.0,scattered clouds,-41.4122,175.5153,Tora Coastal Walk
85,San Andres,CO,80.6,light rain,12.5847,-81.7006,Hotel Arena Blanca
86,Ipixuna,BR,75.2,moderate rain,-1.7625,-48.8043,Casa da Oscarina
89,Ternate,ID,84.85,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
91,Tirumullaivasal,IN,79.3,broken clouds,11.2333,79.8333,Hajaali
