City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,33.01,69,100,3.11,overcast clouds
1,Shache,CN,38.4167,77.2406,32.59,60,0,4.68,clear sky
2,Contamana,PE,-7.3333,-75.0167,76.3,82,100,4.74,overcast clouds
3,Busselton,AU,-33.65,115.3333,71.01,44,89,4.0,overcast clouds
4,Esperance,AU,-33.8667,121.9,68.0,42,99,14.97,overcast clouds
5,Illapel,CL,-31.6308,-71.1653,55.47,67,0,1.36,clear sky
6,Jamestown,US,42.097,-79.2353,37.99,75,1,8.05,clear sky
7,Oum Hadjer,TD,13.2954,19.6966,65.05,25,0,10.87,clear sky
8,Bonavista,CA,48.6499,-53.1147,30.0,93,100,1.14,overcast clouds
9,Shimoda,JP,34.6667,138.95,55.4,54,0,8.05,clear sky
10,Constitucion,CL,-35.3333,-72.4167,52.79,79,0,10.02,clear sky
11,Mataura,NZ,-46.1927,168.8643,77.0,47,4,5.91,clear sky
12,Atuona,PF,-9.8,-139.0333,77.81,76,40,12.97,scattered clouds
13,Monrovia,LR,6.3005,-10.7969,78.08,83,44,2.95,scattered clouds
14,Krasnoselkup,RU,65.7,82.4667,-4.11,92,100,7.52,overcast clouds
15,Arlit,NE,18.7369,7.3853,64.69,27,77,6.6,broken clouds
16,Verkh-Usugli,RU,52.7,115.1667,-12.6,78,0,1.21,clear sky
17,Bethel,US,41.3712,-73.414,33.01,80,1,4.61,clear sky
18,Erenhot,CN,43.6475,111.9767,11.01,93,100,2.13,overcast clouds
19,Hilo,US,19.7297,-155.09,80.6,61,20,3.44,few clouds
20,Vaini,TO,-21.2,-175.2,86.0,79,40,8.05,scattered clouds
21,Bluff,NZ,-46.6,168.3333,61.88,78,13,5.59,few clouds
22,Nikolskoye,RU,59.7035,30.7861,7.0,78,40,8.95,light snow
23,Morondava,MG,-20.2833,44.2833,82.4,77,87,0.92,light rain
24,Rikitea,PF,-23.1203,-134.9692,77.92,77,71,11.61,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,53.6,71,90,11.5,overcast clouds
26,Saint Anthony,US,45.0205,-93.218,35.6,80,40,6.91,scattered clouds
27,Kodiak,US,57.79,-152.4072,32.0,86,40,3.44,scattered clouds
28,Cloquet,US,46.7216,-92.4594,30.2,80,90,6.91,overcast clouds
29,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,75,13.47,light intensity drizzle rain
30,Wageningen,NL,51.9667,5.6667,37.0,100,90,2.3,overcast clouds
31,Sicamous,CA,50.8331,-118.9856,35.6,75,40,1.14,scattered clouds
32,Khatanga,RU,71.9667,102.5,-36.54,81,97,12.77,overcast clouds
33,Thompson,CA,55.7435,-97.8558,26.6,100,90,3.44,overcast clouds
34,Adrar,MR,20.5022,-10.0711,58.78,29,0,14.16,clear sky
35,Antofagasta,CL,-23.65,-70.4,64.4,77,75,10.36,broken clouds
36,Cherskiy,RU,68.75,161.3,-23.35,85,100,4.34,overcast clouds
37,Flinders,AU,-34.5833,150.8552,90.0,61,18,4.0,few clouds
38,Kavieng,PG,-2.5744,150.7967,85.28,69,82,13.69,broken clouds
39,Upata,VE,8.0086,-62.3989,67.48,90,86,4.83,overcast clouds
40,La Ronge,CA,55.1001,-105.2842,28.4,93,100,10.36,snow
41,Eydhafushi,MV,5.1033,73.0708,80.13,75,92,3.18,overcast clouds
42,Oromocto,CA,45.8351,-66.4792,30.2,64,90,4.61,overcast clouds
43,Bredasdorp,ZA,-34.5322,20.0403,68.0,88,100,12.66,overcast clouds
44,Ginir,ET,7.1333,40.7,53.62,51,96,2.98,overcast clouds
45,East London,ZA,-33.0153,27.9116,73.09,91,100,14.9,light rain
46,Qaanaaq,GL,77.484,-69.3632,-2.24,77,0,3.85,clear sky
47,Silleda,ES,42.696,-8.2465,39.2,87,75,4.61,broken clouds
48,Komsomolskiy,UZ,40.4272,71.7189,26.6,80,0,4.61,mist
49,Port-Gentil,GA,-0.7193,8.7815,78.24,81,98,9.06,overcast clouds
50,Norman Wells,CA,65.282,-126.8329,3.2,85,90,11.5,light snow
51,Ushuaia,AR,-54.8,-68.3,51.8,76,40,4.61,scattered clouds
52,Airai,TL,-8.9266,125.4092,75.52,77,100,2.08,light rain
53,Benghazi,LY,32.1167,20.0667,60.82,68,44,23.89,scattered clouds
54,Kahului,US,20.8947,-156.47,82.4,57,40,10.36,scattered clouds
55,Hobart,AU,-42.8794,147.3294,73.99,37,40,16.11,scattered clouds
56,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,94,75,12.66,broken clouds
57,Ouallam,NE,14.3188,2.0866,68.76,22,0,9.91,clear sky
58,Am Timan,TD,11.0297,20.2827,64.04,25,51,5.26,broken clouds
59,New Norfolk,AU,-42.7826,147.0587,73.99,47,73,5.99,broken clouds
60,Kuli,RU,42.0185,47.2434,41.0,100,90,4.61,fog
61,Port Alfred,ZA,-33.5906,26.891,66.99,97,100,19.06,light rain
62,Challapata,BO,-18.9,-66.7667,52.54,69,100,4.59,light rain
63,Talnakh,RU,69.4865,88.3972,-27.47,77,1,7.92,clear sky
64,Acari,PE,-15.4311,-74.6158,72.21,66,100,4.12,heavy intensity rain
65,Cabatuan,PH,10.8794,122.486,83.37,77,90,14.25,light rain
66,Saint George,US,37.1041,-113.5841,46.99,21,1,0.09,clear sky
67,Kapaa,US,22.0752,-159.319,77.0,78,20,19.57,few clouds
68,Laguna,US,38.421,-121.4238,57.2,77,1,11.5,haze
69,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,55,90,8.05,overcast clouds
70,Camocim,BR,-2.9022,-40.8411,77.59,83,96,10.11,overcast clouds
71,Saint-Philippe,RE,-21.3585,55.7679,80.6,83,90,2.3,overcast clouds
72,Nhulunbuy,AU,-12.2333,136.7667,89.6,66,75,5.75,broken clouds
73,Shenjiamen,CN,29.9576,122.298,51.98,66,0,8.79,clear sky
74,Faya,SA,18.3851,42.4509,46.4,93,0,2.89,clear sky
75,Bay Roberts,CA,47.5999,-53.2648,28.99,89,57,3.71,broken clouds
76,Puerto Ayora,EC,-0.7393,-90.3518,75.99,93,93,7.0,overcast clouds
77,Changtu,CN,42.7788,124.0955,9.81,74,99,3.62,overcast clouds
78,Butaritari,KI,3.0707,172.7902,81.43,77,64,18.45,broken clouds
79,Sao Filipe,CV,14.8961,-24.4956,70.99,73,51,9.28,broken clouds
80,Vao,NC,-22.6667,167.4833,76.66,87,100,18.14,overcast clouds
81,Sitka,US,57.0531,-135.33,37.4,87,90,8.05,moderate rain
82,Cidreira,BR,-30.1811,-50.2056,70.52,71,21,15.55,few clouds
83,Ust-Shonosha,RU,61.1531,41.343,-22.45,86,51,6.02,broken clouds
84,Waipawa,NZ,-41.4122,175.5153,77.0,47,45,12.66,scattered clouds
85,San Andres,CO,12.5847,-81.7006,80.6,83,90,11.5,light rain
86,Ipixuna,BR,-1.7625,-48.8043,75.2,88,75,3.44,moderate rain
87,Pelym,RU,61.0108,61.9978,-11.24,85,0,4.94,clear sky
88,Ust-Nera,RU,64.5667,143.2,-24.74,75,100,2.53,overcast clouds
89,Ternate,ID,0.8,127.4,84.85,67,63,4.0,broken clouds
90,Gandajika,CD,-6.75,23.95,66.81,97,100,0.92,overcast clouds
91,Tirumullaivasal,IN,11.2333,79.8333,79.3,84,79,13.8,broken clouds
92,Chimbote,PE,-9.0853,-78.5783,70.3,84,100,6.78,overcast clouds
93,Urubicha,BO,-15.3833,-62.95,73.18,98,100,2.1,light rain
94,Maceio,BR,-9.6658,-35.7353,73.4,94,0,3.44,clear sky
95,Leningradskiy,RU,69.3833,178.4167,-7.76,90,100,3.58,light snow
96,Ikalamavony,MG,-21.15,46.5833,70.68,80,55,2.84,broken clouds
97,Markova,UA,48.6758,24.4138,27.46,88,100,4.54,overcast clouds
98,Salina Cruz,MX,16.1667,-95.2,74.41,61,31,19.57,scattered clouds
99,Hasaki,JP,35.7333,140.8333,54.0,54,20,5.75,few clouds
100,Alyangula,AU,-13.8483,136.4192,78.8,100,75,8.05,heavy intensity rain
101,Pombas,CV,17.1503,-25.0201,69.8,64,40,27.63,scattered clouds
102,Ust-Kuyga,RU,70.0167,135.6,-41.64,78,28,0.29,scattered clouds
103,Tiksi,RU,71.6872,128.8694,-32.6,83,91,3.67,overcast clouds
104,Meulaboh,ID,4.1363,96.1285,80.98,69,83,2.3,broken clouds
105,Yerbogachen,RU,61.2767,108.0108,-14.96,87,100,10.49,overcast clouds
106,Klaksvik,FO,62.2266,-6.589,39.2,81,20,23.02,few clouds
107,Uhlove,UA,44.8215,33.6045,39.45,74,100,3.89,overcast clouds
108,Namtsy,RU,62.7161,129.6658,-58.0,57,90,2.06,fog
109,Maragogi,BR,-9.0122,-35.2225,77.14,80,99,7.74,overcast clouds
110,Roswell,US,34.0232,-84.3616,39.0,70,1,4.61,clear sky
111,Aklavik,CA,68.2191,-135.0107,-14.8,76,100,4.63,overcast clouds
112,Tasiilaq,GL,65.6145,-37.6368,32.0,86,75,28.77,light snow
113,Deputatskiy,RU,69.3,139.9,-35.3,83,92,1.25,overcast clouds
114,San Juan,AR,-31.5375,-68.5364,78.42,52,2,15.59,clear sky
